movieId,imdbID,Title,Year,Genre,Director,Writer,Actors,Language,Poster,imdbRating,imdbVotes
11,tt0112346,The American President,1995,"Comedy, Drama, Romance",Rob Reiner,Aaron Sorkin,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox","English, French, Spanish",https://m.media-amazon.com/images/M/MV5BNjhkMmU0M2YtZDUwYi00OWE0LWI5NTktODBjNDc1M2ZlMjI4XkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_SX300.jpg,6.8,49530
12,tt0112896,Dracula: Dead and Loving It,1995,"Comedy, Fantasy, Horror",Mel Brooks,"Mel Brooks (screenplay), Rudy De Luca (screenplay), Steve Haberman (screenplay), Rudy De Luca (story), Steve Haberman (story), Bram Stoker (characters)","Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck","English, German",https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_SX300.jpg,5.9,37327
13,tt0112453,Balto,1995,"Animation, Adventure, Drama, Family, History",Simon Wells,"Cliff Ruby (screenplay), Elana Lesser (screenplay), David Steven Cohen (screenplay), Roger S.H. Schulman (screenplay)","Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings",English,https://m.media-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,7.1,37791
14,tt0113987,Nixon,1995,"Biography, Drama, History",Oliver Stone,"Stephen J. Rivele, Christopher Wilkinson, Oliver Stone","Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris","English, Mandarin, Russian",https://m.media-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,7.1,27633
15,tt0112760,Cutthroat Island,1995,"Action, Adventure, Comedy",Renny Harlin,"Michael Frost Beckner (story), James Gorman (story), Bruce A. Evans (story), Raynold Gideon (story), Robert King (screenplay), Marc Norman (screenplay)","Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin",English,https://m.media-amazon.com/images/M/MV5BMDg2YTI0YmQtYzgwMi00Zjk4LWJkZjgtYjg0ZDE2ODUzY2RlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,5.7,25006
16,tt0112641,Casino,1995,"Crime, Drama",Martin Scorsese,"Nicholas Pileggi (book), Nicholas Pileggi (screenplay), Martin Scorsese (screenplay)","Robert De Niro, Sharon Stone, Joe Pesci, James Woods",English,https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,8.2,437074
17,tt0114388,Sense and Sensibility,1995,"Drama, Romance",Ang Lee,"Jane Austen (novel), Emma Thompson (screenplay)","James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet","English, French",https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_SX300.jpg,7.6,96430
18,tt0113101,Four Rooms,1995,Comedy,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino, Chuck Jones","Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino","Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna",English,https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.8,93717
19,tt0112281,Ace Ventura: When Nature Calls,1995,"Adventure, Comedy, Crime",Steve Oedekerk,"Jack Bernstein (characters), Steve Oedekerk","Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi",English,https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.4,194566
20,tt0113845,Money Train,1995,"Action, Comedy, Crime, Drama, Thriller",Joseph Ruben,"Doug Richardson (story), Doug Richardson (screenplay), David Loughery (screenplay)","Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake",English,https://m.media-amazon.com/images/M/MV5BYWZlMzIwYzYtOWZiMi00ZGEzLWFhYmQtNmEzYzJlNDg1NjhjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,5.7,37546
21,tt0113161,Get Shorty,1995,"Comedy, Crime, Thriller",Barry Sonnenfeld,"Elmore Leonard (novel), Scott Frank (screenplay)","John Travolta, Gene Hackman, Rene Russo, Danny DeVito",English,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_SX300.jpg,6.9,73024
22,tt0112722,Copycat,1995,"Drama, Mystery, Thriller",Jon Amiel,"Ann Biderman, David Madsen","Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara",English,https://m.media-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg,6.6,51655
23,tt0112401,Assassins,1995,"Action, Crime, Thriller",Richard Donner,"Lilly Wachowski (story), Lana Wachowski (story), Lilly Wachowski (screenplay), Lana Wachowski (screenplay), Brian Helgeland (screenplay)","Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov","English, Dutch, Spanish",https://m.media-amazon.com/images/M/MV5BZGI1NDA4ZDItNTRjMi00YTU3LTkwZDEtYjdlNTI1ZjQxZDM1XkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,6.3,74920
24,tt0114168,Powder,1995,"Drama, Fantasy, Mystery, Sci-Fi, Thriller",Victor Salva,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum",English,https://m.media-amazon.com/images/M/MV5BOGUzYzNiZTItYmZlNi00ODI1LThjNTMtNjI1MTNlZDQ0OGY2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,6.6,27688
25,tt0113627,Leaving Las Vegas,1995,"Drama, Romance",Mike Figgis,"John O'Brien (based upon the novel by), Mike Figgis (screenplay by)","Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis","English, Russian",https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_SX300.jpg,7.5,109729
26,tt0114057,Othello,1995,"Drama, Romance",Oliver Parker,"Oliver Parker (adaptation), William Shakespeare (play)","Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker",English,https://m.media-amazon.com/images/M/MV5BNzVlMjhjYzctNjQ4My00OGMwLThmZTktODE4MWI3NzNkOWYyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,6.9,8720
27,tt0114011,Now and Then,1995,"Comedy, Drama, Romance",Lesli Linka Glatter,I. Marlene King,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith",English,https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg,6.8,25889
28,tt0114117,Persuasion,1995,"Drama, Romance",Roger Michell,"Jane Austen (novel), Nick Dear (screenplay)","Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave",English,https://m.media-amazon.com/images/M/MV5BMTc5NzAwNDAyN15BMl5BanBnXkFtZTYwMjYzMDc5._V1_SX300.jpg,7.7,8758
29,tt0112682,The City of Lost Children,1995,"Fantasy, Sci-Fi","Marc Caro, Jean-Pierre Jeunet","Gilles Adrien, Jean-Pierre Jeunet, Marc Caro, Gilles Adrien (dialogue), Guillaume Laurant (additional dialogue), Jean-Pierre Jeunet (additional dialogue)","Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon","French, Cantonese",https://m.media-amazon.com/images/M/MV5BZGQxZDMwYzYtYmFjNi00NWYyLThjZjAtMDJhODZhYTkyZDNhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,7.6,62557
30,tt0115012,Shanghai Triad,1995,"Crime, Drama, History, Romance, Thriller",Yimou Zhang,"Bi Feiyu, Li Xiao (novel)","Li Gong, Baotian Li, Xiaoxiao Wang, Xuejian Li",Mandarin,https://m.media-amazon.com/images/M/MV5BYjQ0OTUxZTMtNGM2Mi00NWNjLWE4NjEtZjljMjVhYzkwNDYyXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,7.1,4927
31,tt0112792,Dangerous Minds,1995,"Biography, Drama",John N. Smith,"LouAnne Johnson (book), Ronald Bass (screenplay)","Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett",English,https://m.media-amazon.com/images/M/MV5BZjk2YjNkYTYtOTZkNy00ZmRkLWI5ODEtYzA4MTM3MzMyZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.5,46146
32,tt0114746,12 Monkeys,1995,"Mystery, Sci-Fi, Thriller",Terry Gilliam,"Chris Marker (film La Jetée), David Webb Peoples (screenplay), Janet Peoples (screenplay)","Joseph Melito, Bruce Willis, Jon Seda, Michael Chance","English, French",https://m.media-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,8,555499
34,tt0112431,Babe,1995,"Comedy, Drama, Family",Chris Noonan,"Dick King-Smith (novel), George Miller (screenplay), Chris Noonan (screenplay)","Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving",English,https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,6.7,112060
36,tt0112818,Dead Man Walking,1995,"Crime, Drama",Tim Robbins,"Helen Prejean (book), Tim Robbins","Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry",English,https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_SX300.jpg,7.5,85063
38,tt0113442,It Takes Two,1995,"Comedy, Family, Romance",Andy Tennant,Deborah Dean Davis,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen",English,https://m.media-amazon.com/images/M/MV5BMzdhMGU0MzEtZjg1Ny00YzE5LWE0MGQtMTNiN2UwN2I5ZDBjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_SX300.jpg,5.9,19404
39,tt0112697,Clueless,1995,"Comedy, Romance",Amy Heckerling,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd","English, Spanish",https://m.media-amazon.com/images/M/MV5BMzBmOGQ0NWItOTZjZC00ZDAxLTgyOTEtODJiYWQ2YWNiYWVjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,6.8,165600
40,tt0112749,"Cry, the Beloved Country",1995,"Drama, Thriller",Darrell Roodt,"Ronald Harwood (screenplay), Alan Paton (novel)","James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton",English,https://m.media-amazon.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1_SX300.jpg,6.8,1623
41,tt0114279,Richard III,1995,"Drama, Sci-Fi, War",Richard Loncraine,"William Shakespeare (play), Ian McKellen, Richard Loncraine","Christopher Bowen, Edward Jewesbury, Ian McKellen, Bill Paterson",English,https://m.media-amazon.com/images/M/MV5BOWI3NjhhZDItNWQ2NS00Zjg0LWIzMjctNzY0MjRmNzkyYzVmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,7.4,13170
42,tt0112819,Dead Presidents,1995,"Action, Crime, Drama, Thriller, War","Albert Hughes, Allen Hughes","Allen Hughes (story), Albert Hughes (story), Michael Henry Brown (story), Michael Henry Brown (screenplay), Wallace Terry (story ""Specialist No.4 Haywood T. 'The Kid' Kirkland"")","Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez",English,https://m.media-amazon.com/images/M/MV5BNjdhZWEzMzEtMjNhZS00OThhLWFiZWUtM2EwMWU5MWE0MDA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.9,18639
43,tt0114272,Restoration,1995,"Biography, Drama, History, Romance",Michael Hoffman,"Rose Tremain (novel), Rupert Walters (screenplay)","Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker","English, Latin",https://m.media-amazon.com/images/M/MV5BZmQwODk5ZGItMDk5OS00MjU4LTgyYmUtYTBiMTFhYWM5MDY4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,6.6,8610
44,tt0113855,Mortal Kombat,1995,"Action, Adventure, Fantasy, Sci-Fi, Thriller",Paul W.S. Anderson,"Ed Boon (video games), John Tobias (video games), Kevin Droney","Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa",English,https://m.media-amazon.com/images/M/MV5BNjY5NTEzZGItMGY3My00NzE4LThkYTUtYjJkNzk3MDBiMWE3XkEyXkFqcGdeQXVyNzg5MDE1MDk@._V1_SX300.jpg,5.8,96293
45,tt0114681,To Die For,1995,"Comedy, Crime, Drama, Thriller",Gus Van Sant,"Joyce Maynard (book), Buck Henry (screenplay)","Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck",English,https://m.media-amazon.com/images/M/MV5BNGZhYzgwNzItNDljNC00MDM4LThiYjEtNDRhNmE5NDk2MTQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.8,41437
46,tt0113347,How to Make an American Quilt,1995,"Comedy, Drama, Romance",Jocelyn Moorhouse,"Whitney Otto (novel), Jane Anderson (screenplay)","Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin",English,https://m.media-amazon.com/images/M/MV5BNGYwZmZkYWItNjdmMi00MjI2LThmOGYtMmI1NTQ0OWQ1YWIxXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_SX300.jpg,6.3,10290
47,tt0114369,Se7en,1995,"Crime, Drama, Mystery, Thriller",David Fincher,Andrew Kevin Walker,"Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt",English,https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,8.6,1354060
48,tt0114148,Pocahontas,1995,"Animation, Adventure, Drama, Family, Musical, Romance","Mike Gabriel, Eric Goldberg","Carl Binder, Susannah Grant, Philip LaZebnik, Glen Keane (story), Joe Grant (story), Ralph Zondag (story), Burny Mattinson (story), Ed Gombert (story), Kaan Kalyon (story), Francis Glebas (story), Rob Gibbs (story), Bruce Morris (story), Todd Kurosawa (story), Duncan Marjoribanks (story), Chris Buck (story), Andrew Chapman (additional story development), Randy Cartwright (additional story development), Will Finn (additional story development), Broose Johnson (additional story development), T. Daniel Hofstedt (additional story development), David Pruiksma (additional story development), Nik Ranieri (additional story development), Vincent DeFrances (additional story development), Tom Mazzocco (additional story development), Don Dougherty (additional story development), Jorgen Klubien (additional story development), Mike Gabriel (based on an idea by)","Joe Baker, Christian Bale, Irene Bedard, Billy Connolly","English, Algonquin",https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,6.7,159850
49,tt0114916,When Night Is Falling,1995,"Drama, Romance",Patricia Rozema,Patricia Rozema,"Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox",English,https://m.media-amazon.com/images/M/MV5BNGUxMDM1ODEtZjhjZi00NjVjLWEwNmUtNmZmOTQ1MzQxNmQ3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,6.5,6345
50,tt0114814,The Usual Suspects,1995,"Crime, Mystery, Thriller",Bryan Singer,Christopher McQuarrie,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak","English, Hungarian, Spanish, French",https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,8.5,944220
52,tt0113819,Mighty Aphrodite,1995,"Comedy, Fantasy, Romance",Woody Allen,Woody Allen,"Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena","English, Latin",https://m.media-amazon.com/images/M/MV5BMGM1NzM2ZjktNDM5ZS00YmExLTk5ZmYtNDdkNjdkNTdhZWZkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,7,36687
53,tt0110299,Lamerica,1994,Drama,Gianni Amelio,"Gianni Amelio, Andrea Porporati, Alessandro Sermoneta","Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli","Albanian, Italian",https://m.media-amazon.com/images/M/MV5BNjlmZmQ0ZGUtNTBjYy00ZTg3LWE1NmMtNDAyNDI2Zjc4ZDViXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_SX300.jpg,7.5,1992
54,tt0112499,The Big Green,1995,"Comedy, Family, Sport",Holly Goldberg Sloan,Holly Goldberg Sloan,"Steve Guttenberg, Olivia d'Abo, Jay O. Sanders, John Terry",English,https://m.media-amazon.com/images/M/MV5BNmY4NWVkM2UtY2FkZC00NWJiLTg5N2EtYzk4NjJkMGE0YzA3XkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg,5.6,8762
55,tt0113158,Georgia,1995,"Drama, Music",Ulu Grosbard,Barbara Turner,"Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich","English, Hebrew",https://m.media-amazon.com/images/M/MV5BZWJiNjMwYzMtZWU5Yi00NGI0LTg5NGYtZDY4MWRiYjEwYTYzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,6.6,2734
57,tt0113321,Home for the Holidays,1995,"Comedy, Drama, Romance",Jodie Foster,"Chris Radant (short story), W.D. Richter (screenplay)","Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning",English,https://m.media-amazon.com/images/M/MV5BMjVlYTQ4NjgtZWQxMS00ZmQ0LTg4M2QtOGE0ZmJiNDhkMzI4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,6.6,11362
58,tt0110877,Il Postino,1994,"Biography, Comedy, Drama, Romance","Michael Radford, Massimo Troisi","Antonio Skármeta (novel), Furio Scarpelli (story), Giacomo Scarpelli (story), Anna Pavignano (screenplay), Michael Radford (screenplay), Furio Scarpelli (screenplay), Giacomo Scarpelli (screenplay), Massimo Troisi (screenplay)","Philippe Noiret, Massimo Troisi, Maria Grazia Cucinotta, Renato Scarpa","Italian, Spanish",https://m.media-amazon.com/images/M/MV5BZmVhNWIzOTMtYmVlZC00ZDVmLWIyODEtODEzOTAxYjAwMzVlXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_SX300.jpg,7.7,31695
60,tt0113419,The Indian in the Cupboard,1995,"Drama, Family, Fantasy",Frank Oz,"Lynne Reid Banks (novel), Melissa Mathison (screenplay)","Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins",English,https://m.media-amazon.com/images/M/MV5BZWZlYmZiZGMtN2YyZC00MTdjLTllNjUtYWNhZDMwNDhhOTM1XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,6,24815
61,tt0116260,Eye for an Eye,1996,"Crime, Drama, Thriller",John Schlesinger,"Erika Holzer (novel), Amanda Silver (screenplay), Rick Jaffa (screenplay)","Sally Field, Ed Harris, Olivia Burnette, Alexandra Kyle","English, French, Spanish, Korean",https://m.media-amazon.com/images/M/MV5BMDM4Mzc5ZjAtM2JjMi00NzU1LWEzM2MtNDQzNWI5MmRkM2I1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,6.2,12421
62,tt0113862,Mr. Holland's Opus,1995,"Drama, Music",Stephen Herek,Patrick Sheane Duncan,"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis","English, American Sign Language",https://m.media-amazon.com/images/M/MV5BZDZhNDRlZjAtYzdhNy00ZjU1LWFlMDYtNjA5NjliM2Y5ZmVjL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,7.3,34298
63,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,"Comedy, Crime",Paris Barclay,"Shawn Wayans, Marlon Wayans, Phil Beauman","Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer","English, Spanish",https://m.media-amazon.com/images/M/MV5BY2NmM2M2MWItNjdlMC00ZWI3LTkwODUtZDNkYWZjYjgzZjY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.6,45947
64,tt0118002,Two If by Sea,1996,"Comedy, Crime, Romance",Bill Bennett,"Denis Leary (story), Mike Armstrong (story), Ann Lembeck (story), Denis Leary (screenplay), Mike Armstrong (screenplay)","Denis Leary, Sandra Bullock, Stephen Dillane, Yaphet Kotto",English,https://m.media-amazon.com/images/M/MV5BY2YwZjVkMjItYjY4Yy00M2QyLTg0Y2MtYmFiNTgzMjNmMmQzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,5.3,5243
65,tt0115683,Bio-Dome,1996,Comedy,Jason Bloom,"Adam Leff (story), Mitchell Peck (story), Jason Blumenthal (story), Kip Koenig (screenplay), Scott Marcano (screenplay)","William Atherton, Denise Dowse, Dara Tomanovich, Kevin West",English,https://m.media-amazon.com/images/M/MV5BYzY0ZjI0NTUtNDE4Yi00OGU2LWExZDMtNTY1MTM3ZWE3MzEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,4.5,25204
